code_vente;date_vente;nom_de_la_piece;quantite;prix_unitaire_de_vente;prix_total_de_vente
;08/12/2021;HUILE CITROL SAE 50 5L;6;8,67;52,02
;;BATTERIE 45 AMP;1;60;60
;;COUSSINETS BIELLE 3E/5E;1;15;15
;;RETIEN D'HUILE 5AF;1;5;5
;;HUILE CITROL SAE 50 5L;6;8,67;52,02
;;FILTRE A HUILE CARTON 38010;1;5;5
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;FILTRE A HUILE CANTER;1;10;10
;;COUSSINETS BIELLE 1RZ STD;1;20;20
;;COUSSINETS PALIER 1RZ STD;1;20;20
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;COLLE SILICONE TUBE;2;2;4
;;RETIEN D'HUILE 1RZ;1;5;5
;;HUILE CITROL SAE 50 5L;6;8,67;52,02
;;COURROIE 3PKX 750;1;4;4
;09/12/2021;BATTERIE 45 AMP;1;60;60
;;ROTULE CENTRALE COROLLA;1;10;10
;;KLAXON 12V;2;7,5;15
;;SUPPORT CADRAN HIACE;1;20;20
;;HUILE CITROL SAE 50 5L;6;8,67;52,02
;;HUILE CITROL SAE 40 1L;6;8,67;52,02
;;BOURRAGES PONT-AR HLX/L/C/HIACE;1;5;5
;;POIGNET AR RAV4 OCCASION;2;15;30
;;FILTRE A GASOIL FUSO;1;5;5
;10/12/2021;JOINT DE CULASSE 2AZ;1;8;8
;;HUILE HYDRAULIC 1L;1;0;0
;;AMORTISSEUR AR RAV4 NM;2;25;50
;;RETIEN D'HUILE 1RZ;1;5;5
;;BOUGIE IRIDIUM OKO (1PCS);4;10;40
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;COLLE HERMETIC TUBE;1;4;4
;;BANDE DE FREIN HIACE F2317;1;20;20
;;SEGMENTS ORG 2RZ;1;100;100
;;HUILE CITROL SAE 50 5L;1;0;0
;;HUILE CITROL SAE 40 5L;1;0;0
;13/12/2021;COUPELLES D'EMBAYAGE ORG SUPER;1;0;0
;;SEGMENTS ORG 2RZ;1;100;100
;;COUSSINETS BIELLE 1KR;2;20;40
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;COLLE SILICONE TUBE;1;2;2
;;COLLE HERMETIC TUBE;1;4;4
;;HUILE CITROL SAE 40 5L;1;0;0
;;COUSSINETS PALIER 4G54;1;20;20
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;COLLE SILICONE TUBE;1;2;2
;;COLLE HERMETIC TUBE;1;4;4
;;POMPE D'AMORSAGE HLX, L/C;1;0;0
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;HUILE CITROL SAE 40 5L;1;0;0
;;FILTRE A HUILE FUSO ORD;1;15;15
;;HUILE CITROL SAE 40 5L;3;0;0
;14/12/2021;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;SEGMENTS TP 5AF;1;60;60
;;JOINT DE CULASSE 5AF;1;5;5
;;RETIEN D'HUILE 5AF;1;5;5
;;HUILE CITROL SAE 50 5L;1;0;0
;;BOUGIE DE PRECHAUFFAGE (GRAND);1;10;10
;;HUILE CITROL SAE 50 5L;1;0;0
;;HUILE CITROL SAE 40 1L;1;0;0
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;15/12/2021;HUILE HYDRAULIC 1L;1;22;0
;;HUILE CITROL SAE 40 1L;1;0;0
;;HUILE HYDRAULIC 1L;1;0;0
;;HUILE CITROL SAE 40 1L;1;0;0
;;HUILE HYDRAULIC 1L;1;0;0
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;HUILE CITROL SAE 50 1L;1;0;0
;;HUILE CITROL SAE 50 5L;1;0;0
;;HUILE CITROL SAE 40 1L;1;0;0
;12/16/201;HUILE HYDRAULIC 5L;1;0;0
;;HUILE CITROL SAE 50 5L;1;0;0
;;HUILE CITROL SAE 50 5L;1;0;0
;;BATTERIE 70 AMP;1;90;90
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;ROTULE AMBOU COROLLA;2;5;10
;;ROTULE AMBOU HIACE;1;8;8
;;AMORTISSEUR AR RAV4 NM;2;25;50
;;AMORTISSEUR AR SUZUKI;2;20;40
;17/12/021;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;FILTRE A HUILE FUSO 6D22(PAPIER);1;20;20
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;4;22;88
;;AMORTISSEUR AV L/C AM E3375;4;20;80
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;FILTRE A HUILE FUSO 6D22(PAPIER);1;20;20
;;AMORTISSEUR AR RAV4 NM;2;25;50
;;AMORTISSEUR AV PROBOX S333258F;1;25;25
;18/12/021;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;COUPELLES D'EMBAYAGE ORG SUPER;2;0;0
;;BATTERIE 70 AMP;1;90;90
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;FILTRE A HUILE HIACE;1;3;3
;;BOURRAGE SEMI-AXE STAUT, DYNA;1;0;0
;;FILTRE A HUILE CARTON 38010;1;5;5
;;FILTRE A HUILE HIACE;3;3;9
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;20/12/021;DECANTEUR FILTRE A GASOIL L/C;1;5;5
;;JOINT DE CULASSE F8;1;5;5
;;FILTRE A HUILE FUSO ORD;1;15;15
;;FILTRE A HUILE CANTER;1;10;10
;;SEGMENTS ORG 3Y;1;100;100
;;COUSSINETS PALIER 2L, 3L, 5L;1;20;20
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;PLAQUETTE SUZUKI;1;15;15
;21/12/021;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;POMPE A ESSENCE RIKA (GRDS);1;20;20
;;SUPPORT MOTEUR L/C;1;15;15
;;FILTRE A HUILE FUSO ORD;1;15;15
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;COUPELLES D'EMBRAYAGE SUPERIEUR CANTER;1;0;0
;22/12/021;JOINT DE CULASSE 1RZ ORD;1;5;5
;;SYNAMBLOC AV RESSORTS;1;10;10
;;CHAINE TENDEUR 1RZ/2RZ;1;20;20
;;COUSSINETS BIELLE SUZUKI G15/G16 STD;1;20;20
;;COUSSINETS BIELLE TD42;1;30;30
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;22;22
